,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
2423,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.2,1
2426,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.02,1
2429,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.05,1
2432,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.1,1
2435,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.01,1
2439,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.3,1
2445,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.2,1
2448,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.02,1
2451,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.05,1
2454,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.1,1
2457,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.01,1
2461,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.3,1
